id,rcd,symbol,hgncid,ensgstable,evidence,testin,pathway,confidence,experiments,caution,uniprotac,pmid,remark,latestupdate,datasource,uniformgenetype
1DRV,Ferroptosis,RPL8,HGNC:10368,ENSG00000161016,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,Human,RPL8 :+: Ferroptosis,Validated,0,_NA_,P62917,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
2DRV,Ferroptosis,IREB2,HGNC:6115,ENSG00000136381,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,Human,IREB2 :+: Ferroptosis,Validated,0,_NA_,P48200,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
3DRV,Ferroptosis,ATP5MC3,HGNC:843,ENSG00000154518,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,Human,ATP5MC3 :+: Ferroptosis,Validated,0,_NA_,P48201,22632970,ATP5G3 in article,12/31/2020,FerrDb team,gene with protein product
4DRV,Ferroptosis,CS,HGNC:2422,ENSG00000062485,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,Human,CS :+: Ferroptosis,Validated,0,_NA_,O75390,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
5DRV,Ferroptosis,EMC2,HGNC:28963,ENSG00000104412,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,Human,EMC2 :+: Ferroptosis,Validated,0,_NA_,Q15006,22632970,TTC35 in article,12/31/2020,FerrDb team,gene with protein product
6DRV,Ferroptosis,ACSF2,HGNC:26101,ENSG00000167107,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,Human,ACSF2 :+: Ferroptosis,Validated,0,_NA_,Q96CM8,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
7DRV,Ferroptosis,NOX1,HGNC:7889,ENSG00000007952,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Human,NOX1 :+: Ferroptosis,Deduced,0,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,Q9Y5S8,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
8DRV,Ferroptosis,CYBB,HGNC:2578,ENSG00000165168,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Human,CYBB :+: Ferroptosis,Deduced,0,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,P04839,22632970,NOX2 in article,12/31/2020,FerrDb team,gene with protein product
9DRV,Ferroptosis,NOX3,HGNC:7890,ENSG00000074771,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Human,NOX3 :+: Ferroptosis,Deduced,0,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,Q9HBY0,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
10DRV,Ferroptosis,NOX4,HGNC:7891,ENSG00000086991,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Human,NOX4 :+: Ferroptosis,Deduced,0,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,Q9NPH5,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
11DRV,Ferroptosis,NOX5,HGNC:14874,ENSG00000255346,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Human,NOX5 :+: Ferroptosis,Deduced,0,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,Q96PH1,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
12DRV,Ferroptosis,DUOX1,HGNC:3062,ENSG00000137857,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Human,DUOX1 :+: Ferroptosis,Deduced,0,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,Q9NRD9,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
13DRV,Ferroptosis,DUOX2,HGNC:13273,ENSG00000140279,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Human,DUOX2 :+: Ferroptosis,Deduced,0,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,Q9NRD8,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
14DRV,Ferroptosis,G6PD,HGNC:4057,ENSG00000160211,Required in erastin-induced ferroptosis.,Human,G6PD :+: Ferroptosis,Validated,0,_NA_,P11413,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
15DRV,Ferroptosis,PGD,HGNC:8891,ENSG00000142657,Required in erastin-induced ferroptosis.,Human,PGD :+: Ferroptosis,Validated,0,_NA_,P52209,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
16DRV,Ferroptosis,VDAC2,HGNC:12672,ENSG00000165637,Required in erastin-induced ferroptosis.,Human,VDAC2 :+: Ferroptosis,Validated,0,_NA_,P45880,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
17DRV,Ferroptosis,PIK3CA,HGNC:8975,ENSG00000121879,Inhibitor blocked ferroptotic cell death.,Mice,"PIK3CA :-: GSH, GSH :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,0,Also involved in necrosis and apoptosis.,P42336,24739485,PI3Kalpha in article,12/31/2020,FerrDb team,gene with protein product
18DRV,Ferroptosis,FLT3,HGNC:3765,ENSG00000122025,Inhibitor blocked ferroptotic cell death.,Mice,"FLT3 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,0,Also involved in necrosis and apoptosis.,P36888,24739485,_NA_,12/31/2020,FerrDb team,gene with protein product
19DRV,Ferroptosis,SCP2,HGNC:10606,ENSG00000116171,"SCP-2 inhibitors showed anti-ferroptotic activity, which was substantiated by knocking down SCP-2 in Gpx4−/− cells.",Mice,SCP2 :+: Ferroptosis,Validated,0,Transient effect. Other translocases may work in parallel.,P22307,25402683,_NA_,12/31/2020,FerrDb team,gene with protein product
20DRV,Ferroptosis,TP53,HGNC:11998,ENSG00000141510,Inhibits cystine uptake and sensitizes cells to ferroptosis. Erastin induced high levels of cell death in p53+/+ MEFs.,"Human, mice","TP53 :-: SLC7A11, SLC7A11 :+: Cystine, Cystine :-: Ferroptosis",Validated,0,The acetylation-defective mutant (p53[3KR]) also retains the ability to induce ferroptosis upon reactive oxygen species (ROS)-induced stress.,P04637,25799988,_NA_,12/31/2020,FerrDb team,gene with protein product
21DRV,Ferroptosis,ACSL4,HGNC:3571,ENSG00000068366,Deletion of this gene likely suppress ferroptosis by limiting the membrane-resident pool of oxidation-sensitive fatty acids.,Human,ACSL4 :+: Ferroptosis,Predicted,0,Author prediction based on gene function.,O60488,25965523,_NA_,12/31/2020,FerrDb team,gene with protein product
22DRV,Ferroptosis,LPCAT3,HGNC:30244,ENSG00000111684,Deletion of this gene likely suppress ferroptosis by limiting the membrane-resident pool of oxidation-sensitive fatty acids.,Human,LPCAT3 :+: Ferroptosis,Predicted,0,Author prediction based on gene function.,Q6P1A2,25965523,_NA_,12/31/2020,FerrDb team,gene with protein product
23DRV,Ferroptosis,NRAS,HGNC:7989,ENSG00000213281,NRAS12V mutant protects RMS13 cells from ferroptotic cell death.,Human,NRAS :+: Ferroptosis,Deduced,0,Inferred as a promoter because RAS mutant is resistant to ferroptosis.,P01111,26157704,_NA_,12/31/2020,FerrDb team,gene with protein product
24DRV,Ferroptosis,KRAS,HGNC:6407,ENSG00000133703,KRAS12V mutant protects RMS13 cells from ferroptotic cell death.,Human,KRAS :+: Ferroptosis,Deduced,0,Inferred as a promoter because RAS mutant is resistant to ferroptosis.,P01116,26157704,_NA_,12/31/2020,FerrDb team,gene with protein product
25DRV,Ferroptosis,HRAS,HGNC:5173,ENSG00000174775,HRAS12V mutant protects RMS13 cells from ferroptotic cell death.,Human,HRAS :+: Ferroptosis,Deduced,0,Inferred as a promoter because RAS mutant is resistant to ferroptosis.,P01112,26157704,_NA_,12/31/2020,FerrDb team,gene with protein product
26DRV,Ferroptosis,TF,HGNC:11740,ENSG00000091513,Essential for the induction of ferroptotic cell death. Transferrin can only interact with transferrin receptor and be transported into the cell when it is loaded with iron.,Mice,TF :+: Ferroptosis,Validated,0,Recognized as a suppressor in other studies.,P02787,26166707,Transferrin in article,12/31/2020,FerrDb team,gene with protein product
27DRV,Ferroptosis,TFRC,HGNC:11763,ENSG00000072274,RNAi of transferrin receptor (TfR) inhibited ferroptosis.,Mice,TFRC :+: Ferroptosis,Validated,0,_NA_,P02786,26166707,Tfr in article,12/31/2020,FerrDb team,gene with protein product
28DRV,Ferroptosis,TFR2,HGNC:11762,ENSG00000106327,RNAi of transferrin receptor (TfR) inhibited ferroptosis.,Mice,TFR2 :+: Ferroptosis,Validated,0,_NA_,Q9UP52,26166707,Tfr in article,12/31/2020,FerrDb team,gene with protein product
29DRV,Ferroptosis,SLC38A1,HGNC:13447,ENSG00000111371,RNAi knockdown markedly blocked ferroptosis.,Mice,"SLC38A1 :+: Glutamine, Glutamine :+: Glutamate, Glutamate :+: alpha-Ketoglutarate, alpha-Ketoglutarate :+: Ferroptosis",Validated,0,_NA_,Q9H2H9,26166707,_NA_,12/31/2020,FerrDb team,gene with protein product
30DRV,Ferroptosis,SLC1A5,HGNC:10943,ENSG00000105281,Pharmacological inhibition by L-g-glutamyl-p-nitroanilide or RNAi knockdown markedly blocked ferroptosis.,Mice,"SLC1A5 :+: Glutamine, Glutamine :+: Glutamate, Glutamate :+: alpha-Ketoglutarate, alpha-Ketoglutarate :+: Ferroptosis",Validated,0,_NA_,Q15758,26166707,_NA_,12/31/2020,FerrDb team,gene with protein product
31DRV,Ferroptosis,GLS2,HGNC:29570,ENSG00000135423,Both inhibitor inhibition and gene knockdown inhibit ferroptotic cell death.,Mice,"GSL2 :+: Glutamate, Glutamate :+: Ferroptosis",Validated,0,_NA_,Q9UI32,26166707,_NA_,12/31/2020,FerrDb team,gene with protein product
